#format table ## [Custom WaveView] saved 17:43:25 Mon Sep 28 2020
#logic 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 
 TIME 0x|0|v(sen_fout_col_p<0>)-0|v(sen_fout_col_n<0>) 0x|0|v(sen_fout_col_p<1>)-0|v(sen_fout_col_n<1>) 0x|0|v(sen_fout_col_p<2>)-0|v(sen_fout_col_n<2>) 0x|0|v(sen_fout_col_p<3>)-0|v(sen_fout_col_n<3>) 0x|0|v(sen_fout_col_p<4>)-0|v(sen_fout_col_n<4>) 0x|0|v(sen_fout_col_p<5>)-0|v(sen_fout_col_n<5>) 0x|0|v(sen_fout_col_p<6>)-0|v(sen_fout_col_n<6>) 0x|0|v(sen_fout_col_p<7>)-0|v(sen_fout_col_n<7>) 0x|0|v(sen_fout_row_p<0>)-0|v(sen_fout_row_n<0>) 0x|0|v(sen_fout_row_p<1>)-0|v(sen_fout_row_n<1>) 0x|0|v(sen_fout_row_p<2>)-0|v(sen_fout_row_n<2>) 0x|0|v(sen_fout_row_p<3>)-0|v(sen_fout_row_n<3>) 0x|0|v(sen_fout_row_p<4>)-0|v(sen_fout_row_n<4>) 0x|0|v(sen_fout_row_p<5>)-0|v(sen_fout_row_n<5>) 0x|0|v(sen_fout_row_p<6>)-0|v(sen_fout_row_n<6>) 0x|0|v(sen_fout_row_p<7>)-0|v(sen_fout_row_n<7>) 

* TIME       C0  C1  C2  C3  C4  C5  C6  C7  R0  R1  R2  R3  R4  R5  R6  R7
 1.26250E-04 7FE 7FE 7C7 7FE 801 801 801 801 7FC 7F5 7EB 7AA 82D 85E 818 809 
 1.26500E-04 7FE 7FE 7D1 7FF 801 801 801 801 7FC 7F6 7EB 7A4 843 864 817 808 
 1.26750E-04 7FE 7FF 7DC 7FF 801 800 801 800 7FD 7F6 7EA 79F 858 869 817 806 
 1.27000E-04 7FE 7FF 7E6 7FF 801 800 801 800 7FD 7F7 7EA 799 86D 86F 817 805 
 1.27250E-04 7FE 7FF 7F1 800 801 800 801 800 7FE 7F8 7EB 797 878 870 815 804 
 1.27500E-04 7FE 800 7FB 800 801 7FF 801 800 7FF 7FA 7ED 798 87E 86E 812 802 
 1.27750E-04 7FE 800 805 800 801 7FF 801 7FF 7FF 7FB 7EF 799 884 86D 80F 800 
 1.28000E-04 7FE 800 80F 800 801 7FF 801 7FF 800 7FC 7F1 79A 889 86B 80C 7FF 
 1.28250E-04 7FF 800 819 801 801 7FF 800 7FF 801 7FE 7F3 79A 88F 86A 80A 7FD 
 1.28500E-04 7FF 801 823 801 800 7FE 800 7FE 801 7FF 7F5 79B 895 868 807 7FC 
 1.28750E-04 7FF 801 82C 801 800 7FE 800 7FE 802 800 7F8 79F 88E 863 804 7FA 
 1.29000E-04 7FF 801 835 801 800 7FE 800 7FE 802 802 7FB 7A6 880 85B 800 7F9 
 1.29250E-04 7FF 801 83E 801 800 7FE 800 7FE 803 803 7FE 7AD 873 854 7FD 7F8 
 1.29500E-04 800 801 847 801 7FF 7FE 7FF 7FE 803 804 802 7B4 865 84C 7F9 7F7 
 1.29750E-04 800 801 850 801 7FF 7FE 7FF 7FE 804 806 805 7BA 857 844 7F5 7F6 
 1.30000E-04 800 801 859 801 7FF 7FE 7FF 7FE 804 807 808 7C1 849 83D 7F2 7F5 
 1.30250E-04 800 801 860 801 7FF 7FE 7FF 7FE 804 808 80B 7CA 830 833 7EF 7F5 
 1.30500E-04 801 801 868 801 7FE 7FE 7FE 7FE 804 809 80E 7D3 817 829 7EC 7F4 
 1.30750E-04 801 801 86F 801 7FE 7FE 7FE 7FE 804 80A 810 7DB 7FC 820 7EA 7F4 
 1.31000E-04 801 801 876 801 7FE 7FE 7FE 7FE 804 80A 812 7E3 7E2 818 7E9 7F5 
 1.31250E-04 801 801 87C 801 7FE 7FE 7FE 7FE 803 80A 814 7EA 7C8 810 7E8 7F5 
 1.31500E-04 801 800 882 800 7FE 7FF 7FE 7FE 803 80A 814 7F0 7B2 80A 7E8 7F6 
 1.31750E-04 801 800 888 800 7FE 7FF 7FE 7FF 802 809 814 7F4 79F 806 7E9 7F7 
 1.32000E-04 801 800 88D 800 7FE 7FF 7FE 7FF 802 809 814 7F8 78C 802 7EA 7F8 
 1.32250E-04 801 800 893 7FF 7FE 800 7FE 7FF 801 808 814 7FC 779 7FE 7EB 7F9 
 1.32500E-04 801 7FF 897 7FF 7FE 800 7FE 800 801 807 812 7FB 775 7FF 7ED 7FB 
 1.32750E-04 801 7FF 89A 7FF 7FE 800 7FE 800 800 806 80F 7F9 774 802 7F0 7FC 
 1.33000E-04 800 7FF 89E 7FF 7FE 800 7FE 800 7FF 805 80D 7F7 773 804 7F3 7FD 
 1.33250E-04 800 7FF 8A2 7FE 7FF 801 7FF 800 7FF 804 80B 7F6 772 806 7F6 7FF 
 1.33500E-04 800 7FE 8A5 7FE 7FF 801 7FF 800 7FE 803 808 7F4 771 809 7F9 800 
 1.33750E-04 800 7FE 8A9 7FE 7FF 801 7FF 801 7FD 802 806 7F2 770 80B 7FC 802 
